,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ilulissat,93,GL,1584329447,47,69.22,-51.1,-9.4,3.6
1,Ushuaia,40,AR,1584329445,71,-54.8,-68.3,53.6,1.96
2,Rikitea,3,PF,1584329417,79,-23.12,-134.97,79.63,5.68
3,Jasper,90,US,1584329424,81,37.2,-94.35,42.8,1.5
4,Saldanha,99,ZA,1584329475,63,-33.01,17.94,64.4,3.1
5,Upernavik,0,GL,1584329476,78,72.79,-56.15,-22.16,2.75
6,Mataura,97,NZ,1584329476,68,-46.19,168.86,53.01,6.26
7,Ahipara,100,NZ,1584329476,74,-35.17,173.17,66.85,5.48
8,Loreto,100,MX,1584329476,58,22.27,-101.97,64.54,8.07
9,Saint George,1,US,1584329476,66,37.1,-113.58,55.99,4.1
10,Cayenne,75,GF,1584329403,88,4.93,-52.33,77.0,2.96
11,Arraial do Cabo,0,BR,1584329477,83,-22.97,-42.03,77.9,11.88
12,Vaini,90,TO,1584329477,83,-21.2,-175.2,84.2,5.7
13,Port Alfred,100,ZA,1584329259,98,-33.59,26.89,63.0,4.81
14,Cariati,0,IT,1584329477,85,39.49,16.96,39.99,0.45
15,Terrace,5,CA,1584329478,29,54.52,-128.6,37.4,8.7
16,Severnyy,43,RU,1584329478,85,50.68,36.55,21.2,3.0
17,Maïné Soroa,9,NE,1584329478,14,13.21,12.02,65.43,3.21
18,Kapaa,20,US,1584329479,74,22.08,-159.32,78.8,5.1
19,Bethel,1,US,1584329479,32,41.37,-73.41,43.0,2.1
20,Paoua,37,CF,1584329479,17,7.24,16.44,68.27,1.77
21,Bukama,100,CD,1584329479,97,-9.2,25.85,71.06,1.32
22,Ixtapa,5,MX,1584329257,83,20.7,-105.2,73.4,0.92
23,Barrow,90,US,1584329479,85,71.29,-156.79,14.0,7.2
24,Arona,75,ES,1584329480,59,28.1,-16.68,63.0,3.6
25,Klyuchi,100,RU,1584329480,95,52.27,79.17,34.83,5.42
26,Camabatela,100,AO,1584329480,98,-8.19,15.38,64.83,2.06
27,Taperoá,100,BR,1584329480,86,-7.21,-36.83,74.44,2.55
28,Edinburgh,20,GB,1584329356,92,55.95,-3.2,39.0,1.5
29,Hobart,20,AU,1584329273,52,-42.88,147.33,66.99,6.7
30,Pevek,0,RU,1584329481,82,69.7,170.31,7.54,5.48
31,Nichinan,20,JP,1584329481,27,31.6,131.37,53.6,4.1
32,Olafsvik,100,IS,1584329274,91,64.89,-23.71,32.27,10.55
33,Puerto Ayora,20,EC,1584329309,83,-0.74,-90.35,79.0,3.6
34,Torbay,20,CA,1584329307,73,47.67,-52.73,26.01,4.1
35,Beringovskiy,77,RU,1584329482,85,63.05,179.32,29.1,3.03
36,Buchanan,90,LR,1584329482,93,5.88,-10.05,77.0,1.13
37,Castro,13,BR,1584329449,86,-24.79,-50.01,65.79,1.53
38,Busselton,91,AU,1584329483,63,-33.65,115.33,75.0,0.89
39,Norman Wells,20,CA,1584329447,78,65.28,-126.83,12.2,9.3
40,Nikolskoye,90,RU,1584329461,69,59.7,30.79,33.8,5.0
41,Coquimbo,90,CL,1584329483,87,-29.95,-71.34,60.8,2.0
42,Batagay,89,RU,1584329462,79,67.63,134.63,-5.44,2.2
43,Mareeba,57,AU,1584329484,46,-17.0,145.43,89.6,4.6
44,New Norfolk,20,AU,1584329484,52,-42.78,147.06,66.99,6.7
45,Hermanus,50,ZA,1584329484,77,-34.42,19.23,64.63,14.31
46,Necochea,0,AR,1584329484,88,-38.55,-58.74,46.99,1.79
47,Albany,1,US,1584329446,50,42.6,-73.97,30.0,5.1
48,Sobolevo,0,RU,1584329485,69,54.43,31.9,26.82,3.16
49,Natal,75,BR,1584329428,94,-5.79,-35.21,75.2,4.1
50,Beisfjord,100,NO,1584329485,92,68.38,17.6,25.0,9.3
51,Byron Bay,40,AU,1584329485,78,-28.65,153.62,77.0,7.7
52,Sisimiut,94,GL,1584329485,95,66.94,-53.67,-11.81,3.01
53,Tarrafal,20,CV,1584329486,77,15.28,-23.77,69.8,8.2
54,Taltal,0,CL,1584329442,89,-25.4,-70.48,57.81,1.52
55,Gornopravdinsk,100,RU,1584329486,89,60.05,69.9,14.34,5.98
56,Kongolo,91,CD,1584329486,95,-5.38,27.0,69.37,0.58
57,Hilo,75,US,1584329486,69,19.73,-155.09,77.0,6.2
58,Bosaso,68,SO,1584329487,86,11.28,49.18,77.58,4.91
59,Sitka,1,US,1584329221,77,57.05,-135.33,42.8,5.1
60,Vrangel',100,RU,1584329487,63,42.73,133.08,29.95,9.27
61,Hong Kong,20,HK,1584329446,56,22.29,114.16,75.2,7.2
62,Chui,99,UY,1584329487,74,-33.7,-53.46,61.84,2.06
63,Cape Town,20,ZA,1584329067,68,-33.93,18.42,64.4,6.7
